Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Alter Ego,PC,1985,Simulation,Activision,0,0.03,0,0.01,0.03,59,9,5.8,19,"Viva Media, Viva Media, LLC",T
SimCity,PC,1988,Simulation,Maxis,0,0.02,0,0.01,0.03,64,75,2.2,4572,Maxis,E10+
Doom,PC,1992,Shooter,id Software,0.02,0,0,0,0.03,85,44,8.2,1796,id Software,M
Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,69,4,6.3,4,Tamsoft,T
Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91,13,8.6,147,Core Design Ltd.,T
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,Namco,T
Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91,8,9,266,Capcom,M
Tomb Raider,PC,1996,Action,Eidos Interactive,0.96,0.07,0,0,1.03,86,18,8.5,3552,"Crystal Dynamics, Nixxes Software",M
PaRappa The Rapper,PS,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,92,15,7.4,48,NanaOn-Sha,K-A
WipEout XL,PS,1996,Racing,Psygnosis,0.14,0.1,0,0.02,0.25,93,8,8.7,20,Psygnosis,
Super Puzzle Fighter II Turbo,PS,1996,Puzzle,Virgin Interactive,0.08,0.05,0,0.01,0.14,83,9,7.4,5,Capcom,E
Diablo,PC,1996,Role-Playing,Activision,0.01,1.58,0,0,1.59,94,12,8.7,850,Blizzard Entertainment,M
Half-Life,PC,1997,Shooter,Vivendi Games,4.03,0,0.09,0,4.12,96,24,9.1,3161,Valve Software,M
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,Polyphony Digital,E
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1282,SquareSoft,T
Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85,13,,,Core Design Ltd.,T
Riven: The Sequel to Myst,PC,1997,Adventure,Red Orb,1.52,0.82,0,0.1,2.43,83,12,,,Cyan Worlds,E
Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99,87,14,8.8,45,Acquire,M
Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45,83,12,8.2,190,SquareSoft,T
